POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs,Season
9,Kevin Pietersen,MI,Feroz Shah Kotla Ground,2012-04-27,25,3,6,50,2012
10,David Warner,DEC,Rajiv Gandhi Intl. Cricket Stadium,2012-05-10,26,7,10,109,2012
11,Mayank Agarwal,MI,M. Chinnaswamy Stadium,2012-05-14,26,4,6,64,2012
12,Shane Watson,PWI,Sawai Mansingh Stadium,2012-05-13,26,4,6,58,2012
13,Shane Watson,PWI,Maharashtra Cricket Association's International Stadium,2012-05-08,27,4,10,90,2012
14,Manvinder Bisla,CSK,Chidambaram,2012-05-27,27,5,8,89,2012
15,Suresh Raina,KKR,Chidambaram,2012-05-27,27,5,3,73,2012
16,Chris Gayle,CSK,Chidambaram,2012-04-12,27,6,2,68,2012
17,David Hussey,DEC,IS Bindra Stadium,2012-05-13,27,5,4,65,2012
18,Virender Sehwag,PWI,Feroz Shah Kotla Ground,2012-04-21,27,4,5,57,2012
19,Murali Vijay,DC,Chidambaram,2012-05-25,28,4,15,113,2012
20,Gautam Gambhir,RCB,Eden Gardens,2012-04-28,28,5,9,93,2012
21,Virender Sehwag,PWI,Maharashtra Cricket Association's International Stadium,2012-04-24,28,3,10,87,2012
22,Gautam Gambhir,RCB,M. Chinnaswamy Stadium,2012-04-10,28,1,9,64,2012
23,Rohit Sharma,KKR,Eden Gardens,2012-05-12,29,5,12,109,2012
24,Tillakaratne Dilshan,DEC,M. Chinnaswamy Stadium,2012-05-06,29,2,8,71,2012
25,Kieron Pollard,RR,Wankhede Stadium,2012-04-11,29,4,6,64,2012
26,Ambati Rayudu,DC,Feroz Shah Kotla Ground,2012-04-27,29,3,5,62,2012
27,Rohit Sharma,KXIP,IS Bindra Stadium,2012-04-25,29,3,3,50,2012
28,Virender Sehwag,MI,Feroz Shah Kotla Ground,2012-04-27,30,4,8,73,2012
29,David Hussey,MI,IS Bindra Stadium,2012-04-25,30,4,4,68,2012
30,Gautam Gambhir,PWI,Eden Gardens,2012-05-05,30,2,4,56,2012
31,Mandeep Singh,DEC,Rajiv Gandhi Intl. Cricket Stadium,2012-05-08,31,3,8,75,2012
32,Gautam Gambhir,CSK,Eden Gardens,2012-05-14,31,3,6,62,2012
33,Mahela Jayawardene,CSK,Chidambaram,2012-05-25,31,2,4,55,2012
34,Kieron Pollard,RCB,M. Chinnaswamy Stadium,2012-05-14,31,3,5,52,2012
35,Owais Shah,MI,Wankhede Stadium,2012-04-11,32,5,5,76,2012
36,Sachin Tendulkar,CSK,Wankhede Stadium,2012-05-06,32,1,11,74,2012
37,Chris Gayle,KXIP,M. Chinnaswamy Stadium,2012-05-02,32,4,6,71,2012
38,Faf du Plessis,RCB,Chidambaram,2012-04-12,32,4,5,71,2012
39,Jesse Ryder,DC,Feroz Shah Kotla Ground,2012-04-21,33,4,7,86,2012
40,Robin Uthappa,RCB,M. Chinnaswamy Stadium,2012-04-17,33,2,9,69,2012
41,Shaun Marsh,MI,Wankhede Stadium,2012-04-22,33,3,5,68,2012
42,Cameron White,DC,Rajiv Gandhi Intl. Cricket Stadium,2012-05-10,33,2,7,65,2012
43,Virender Sehwag,RR,Feroz Shah Kotla Ground,2012-04-29,33,2,8,63,2012
44,Dwayne Smith,RR,Sawai Mansingh Stadium,2012-05-20,34,3,10,87,2012
45,Faf du Plessis,RR,Chidambaram,2012-04-21,34,2,6,73,2012
46,Rahul Dravid,RCB,Sawai Mansingh Stadium,2012-04-23,34,0,8,58,2012
47,Richard Levi,CSK,Chidambaram,2012-04-04,34,3,6,50,2012
48,Nitin Saini,RCB,M. Chinnaswamy Stadium,2012-05-02,34,0,5,50,2012
49,Cameron White,PWI,Maharashtra Cricket Association's International Stadium,2012-04-26,35,5,6,78,2012
50,Cameron White,KXIP,IS Bindra Stadium,2012-05-13,35,1,8,67,2012
51,Rahul Dravid,DC,Sawai Mansingh Stadium,2012-05-01,35,0,7,57,2012
52,Michael Hussey,KKR,Eden Gardens,2012-05-14,35,4,4,56,2012
53,Chris Gayle,MI,Wankhede Stadium,2012-05-09,36,6,5,82,2012
54,Jesse Ryder,CSK,Maharashtra Cricket Association's International Stadium,2012-04-14,36,1,7,73,2012
55,Shikhar Dhawan,KXIP,IS Bindra Stadium,2012-05-13,36,3,4,71,2012
56,Gautam Gambhir,KXIP,IS Bindra Stadium,2012-04-18,36,1,7,66,2012
57,AB de Villiers,KXIP,IS Bindra Stadium,2012-04-20,36,0,6,52,2012
58,Chris Gayle,DC,Feroz Shah Kotla Ground,2012-05-17,37,13,7,128,2012
59,Ajinkya Rahane,KXIP,Sawai Mansingh Stadium,2012-04-06,37,1,16,98,2012
60,Shikhar Dhawan,DC,Rajiv Gandhi Intl. Cricket Stadium,2012-05-10,37,5,9,84,2012
61,AB de Villiers,DC,M. Chinnaswamy Stadium,2012-04-07,37,2,6,64,2012
62,Rohit Sharma,CSK,Wankhede Stadium,2012-05-06,37,2,6,60,2012
63,Shikhar Dhawan,RR,Sawai Mansingh Stadium,2012-04-17,37,0,8,52,2012
64,Kumar Sangakkara,PWI,Barabati Stadium,2012-05-01,38,2,10,82,2012
65,Chris Gayle,PWI,M. Chinnaswamy Stadium,2012-04-17,38,8,4,81,2012
66,James Franklin,KXIP,Wankhede Stadium,2012-04-22,38,4,6,79,2012
67,Cameron White,PWI,Barabati Stadium,2012-05-01,38,4,4,74,2012
68,Naman Ojha,DEC,Rajiv Gandhi Intl. Cricket Stadium,2012-05-10,38,5,2,64,2012
69,Michael Hussey,KKR,Chidambaram,2012-05-27,38,2,4,54,2012
70,Cameron White,CSK,Chidambaram,2012-05-04,39,2,9,77,2012
71,Shikhar Dhawan,RCB,M. Chinnaswamy Stadium,2012-05-06,39,1,10,73,2012
72,Jacques Kallis,CSK,Chidambaram,2012-05-27,39,1,7,69,2012
73,Mahela Jayawardene,MI,Feroz Shah Kotla Ground,2012-04-27,39,0,8,55,2012
74,Ajinkya Rahane,DC,Feroz Shah Kotla Ground,2012-04-29,40,1,9,84,2012
75,Manish Pandey,DC,Maharashtra Cricket Association's International Stadium,2012-04-24,40,3,7,80,2012
76,Ajinkya Rahane,PWI,Sawai Mansingh Stadium,2012-05-13,40,0,7,61,2012
77,Brendon McCullum,DC,Feroz Shah Kotla Ground,2012-05-07,40,0,7,56,2012
78,Tillakaratne Dilshan,PWI,Maharashtra Cricket Association's International Stadium,2012-05-11,40,1,6,53,2012
79,Owais Shah,CSK,Chidambaram,2012-04-21,40,3,4,52,2012
80,Ajinkya Rahane,RCB,M. Chinnaswamy Stadium,2012-04-15,41,5,12,103,2012
81,Chris Gayle,KXIP,IS Bindra Stadium,2012-04-20,41,4,8,87,2012
82,Ambati Rayudu,RCB,M. Chinnaswamy Stadium,2012-05-14,41,4,6,81,2012
83,Rohit Sharma,DEC,ACA-VDCA Stadium,2012-04-09,41,5,4,73,2012
84,Virat Kohli,DC,Feroz Shah Kotla Ground,2012-05-17,41,1,9,73,2012
85,Kevin Pietersen,DEC,Feroz Shah Kotla Ground,2012-04-19,42,9,6,103,2012
86,Chris Gayle,KKR,Eden Gardens,2012-04-28,42,6,7,86,2012
87,Adam Gilchrist,CSK,HPCA Stadium,2012-05-17,42,2,9,64,2012
88,Manoj Tiwary,RR,Sawai Mansingh Stadium,2012-04-08,42,0,7,59,2012
89,Faf du Plessis,PWI,Chidambaram,2012-04-19,42,2,4,58,2012
90,Subramaniam Badrinath,PWI,Chidambaram,2012-04-19,42,0,8,57,2012
91,Tillakaratne Dilshan,RR,Sawai Mansingh Stadium,2012-04-23,43,1,10,76,2012
92,JP Duminy,RCB,Rajiv Gandhi Intl. Cricket Stadium,2012-05-20,43,5,4,74,2012
93,Gautam Gambhir,CSK,Chidambaram,2012-04-30,43,1,6,63,2012
94,Virat Kohli,CSK,Chidambaram,2012-04-12,43,2,5,57,2012
95,Sachin Tendulkar,RR,Sawai Mansingh Stadium,2012-05-20,44,0,6,58,2012
96,Mandeep Singh,CSK,Chidambaram,2012-04-28,44,1,5,56,2012
97,Jacques Kallis,MI,Eden Gardens,2012-05-12,45,3,7,79,2012
98,Herschelle Gibbs,KKR,Eden Gardens,2012-05-12,48,2,7,66,2012
99,Mahela Jayawardene,KXIP,Feroz Shah Kotla Ground,2012-05-15,48,0,8,56,2012
100,Shaun Marsh,PWI,IS Bindra Stadium,2012-04-12,49,1,7,64,2012
1,Paul Valthaty,CSK,IS Bindra Stadium,2011-04-13,23,2,19,120,2011
2,Dinesh Karthik,KTK,Holkar Cricket Stadium,2011-05-13,24,5,7,69,2011
3,Jesse Ryder,DC,DY Patil Stadium,2011-04-17,24,5,5,60,2011
4,Sunny Sohal,CSK,Chidambaram,2011-05-01,24,4,6,56,2011
5,Adam Gilchrist,RCB,HPCA Stadium,2011-05-17,25,9,8,106,2011
6,Virender Sehwag,DEC,Rajiv Gandhi Intl. Cricket Stadium,2011-05-05,27,6,13,119,2011
7,Shaun Marsh,DC,Feroz Shah Kotla Ground,2011-04-23,27,6,9,95,2011
8,Chris Gayle,MI,Chidambaram,2011-05-27,27,5,9,89,2011
9,Chris Gayle,KXIP,M. Chinnaswamy Stadium,2011-05-06,28,9,10,107,2011
10,Virender Sehwag,KXIP,Feroz Shah Kotla Ground,2011-04-23,28,4,8,77,2011
11,Gautam Gambhir,RR,Sawai Mansingh Stadium,2011-04-15,28,1,11,75,2011
12,MS Dhoni,DC,Chidambaram,2011-05-12,28,4,5,63,2011
13,Chris Gayle,KKR,Eden Gardens,2011-04-22,29,7,10,102,2011
14,Murali Vijay,RCB,Chidambaram,2011-05-28,29,6,4,95,2011
15,David Warner,KXIP,Feroz Shah Kotla Ground,2011-04-23,29,4,7,77,2011
16,Shaun Marsh,RR,IS Bindra Stadium,2011-04-21,29,3,6,71,2011
17,Bharat Chipli,RCB,Rajiv Gandhi Intl. Cricket Stadium,2011-04-14,29,3,5,61,2011
18,Ambati Rayudu,KTK,Wankhede Stadium,2011-04-15,29,4,3,53,2011
19,Aiden Blizzard,KKR,Wankhede Stadium,2011-05-25,29,2,7,51,2011
20,Shane Watson,MI,Wankhede Stadium,2011-05-20,30,6,9,89,2011
21,Mahela Jayawardene,KXIP,Holkar Cricket Stadium,2011-05-13,30,2,8,76,2011
22,Yuvraj Singh,DC,DY Patil Stadium,2011-04-17,30,5,4,66,2011
23,Adam Gilchrist,DEC,Rajiv Gandhi Intl. Cricket Stadium,2011-04-16,30,3,5,61,2011
24,Mahela Jayawardene,MI,Wankhede Stadium,2011-04-15,30,0,9,56,2011
25,JP Duminy,DC,Rajiv Gandhi Intl. Cricket Stadium,2011-05-05,30,4,2,55,2011
26,Tillakaratne Dilshan,KTK,M. Chinnaswamy Stadium,2011-05-08,30,1,8,52,2011
27,Rohit Sharma,CSK,Wankhede Stadium,2011-04-22,31,5,8,87,2011
28,Suresh Raina,DEC,Chidambaram,2011-05-01,31,2,6,59,2011
29,Virat Kohli,DC,Feroz Shah Kotla Ground,2011-04-26,31,2,8,56,2011
30,Jesse Ryder,RCB,M. Chinnaswamy Stadium,2011-04-29,31,2,4,51,2011
31,Michael Hussey,RR,Chidambaram,2011-05-04,32,1,8,79,2011
32,MS Dhoni,RCB,M. Chinnaswamy Stadium,2011-05-22,32,6,3,70,2011
33,Chris Gayle,RR,Sawai Mansingh Stadium,2011-05-11,33,4,7,70,2011
34,Subramaniam Badrinath,PWI,DY Patil Stadium,2011-04-27,33,2,6,63,2011
35,Rohit Sharma,DEC,Rajiv Gandhi Intl. Cricket Stadium,2011-04-24,33,3,5,56,2011
36,Ajinkya Rahane,CSK,Sawai Mansingh Stadium,2011-05-09,33,0,7,52,2011
37,Shaun Marsh,RCB,HPCA Stadium,2011-05-17,34,5,7,79,2011
38,Chris Gayle,CSK,M. Chinnaswamy Stadium,2011-05-22,34,6,4,75,2011
39,Murali Vijay,KXIP,IS Bindra Stadium,2011-04-13,34,4,6,74,2011
40,Shikhar Dhawan,KXIP,HPCA Stadium,2011-05-21,35,1,14,95,2011
41,Paul Valthaty,DEC,Rajiv Gandhi Intl. Cricket Stadium,2011-04-16,35,5,8,75,2011
42,Sunny Sohal,DC,Feroz Shah Kotla Ground,2011-04-19,35,1,8,62,2011
43,Ambati Rayudu,DC,Wankhede Stadium,2011-05-07,35,2,7,59,2011
44,Ambati Rayudu,KXIP,Wankhede Stadium,2011-05-02,35,1,8,51,2011
45,Virender Sehwag,KTK,Jawaharlal Nehru Stadium,2011-04-30,36,5,8,80,2011
46,Virat Kohli,CSK,Wankhede Stadium,2011-05-24,36,3,5,70,2011
47,Virat Kohli,PWI,M. Chinnaswamy Stadium,2011-04-29,36,4,4,67,2011
48,Rohit Sharma,RR,Wankhede Stadium,2011-05-20,36,1,5,58,2011
49,Murali Vijay,RR,Sawai Mansingh Stadium,2011-05-09,36,3,2,53,2011
50,Adam Gilchrist,DEC,HPCA Stadium,2011-05-21,36,2,6,51,2011
51,Subramaniam Badrinath,MI,Wankhede Stadium,2011-04-22,37,2,7,71,2011
52,Rahul Dravid,CSK,Chidambaram,2011-05-04,37,0,10,66,2011
53,Manoj Tiwary,DC,Feroz Shah Kotla Ground,2011-04-28,37,3,2,61,2011
54,Dwaraka Ravi Teja,KXIP,HPCA Stadium,2011-05-21,37,2,5,60,2011
55,Venugopal Rao,RR,Sawai Mansingh Stadium,2011-04-12,37,4,4,60,2011
56,Jacques Kallis,CSK,Chidambaram,2011-04-08,37,0,7,54,2011
57,Subramaniam Badrinath,KKR,Eden Gardens,2011-05-07,37,2,3,54,2011
58,AB de Villiers,CSK,Chidambaram,2011-04-16,38,2,5,65,2011
59,Paul Valthaty,DC,HPCA Stadium,2011-05-15,38,3,7,62,2011
60,Mahela Jayawardene,KKR,Jawaharlal Nehru Stadium,2011-05-05,38,2,2,55,2011
61,Ryan ten Doeschate,MI,Wankhede Stadium,2011-05-25,39,3,6,70,2011
