POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Nationality,Player Link,Team,Season
31,Manoj Tiwary,16,15,5,260,59,26.0,246,105.69,0,1,21,3,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/89/manoj-tiwary,Kolkata Knight Riders,2012
32,Jesse Ryder,11,11,1,256,86,25.6,212,120.75,0,2,23,8,Overseas,,Nan,2012
33,David Warner,8,8,1,256,109,36.57,156,164.1,1,1,28,14,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/170/david-warner,Delhi Capitals,2012
34,Naman Ojha,18,16,5,255,64,23.18,224,113.83,0,1,21,13,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/52/naman-ojha,Delhi Capitals,2012
35,Shane Watson,7,7,1,255,90,42.5,168,151.78,0,2,26,14,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/227/shane-watson,Rajasthan Royals,2012
36,Brad Hodge,12,12,4,245,48,30.62,175,140.0,0,0,18,9,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/229/brad-hodge,Rajasthan Royals,2012
37,JP Duminy,9,9,6,244,74,81.33,190,128.42,0,2,13,11,Overseas,,Nan,2012
38,Dinesh Karthik,17,14,1,238,44,18.3,213,111.73,0,0,30,2,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/102/dinesh-karthik,Mumbai Indians,2012
39,Mayank Agarwal,16,12,1,225,64,20.45,158,142.4,0,1,19,15,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/158/mayank-agarwal,Royal Challengers Bangalore,2012
40,James Franklin,12,11,2,220,79,24.44,223,98.65,0,1,15,6,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/209/james-franklin,Mumbai Indians,2012
41,Kieron Pollard,14,11,2,220,64,24.44,159,138.36,0,2,15,14,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/210/kieron-pollard,Mumbai Indians,2012
42,Ashok Menaria,15,12,1,220,40,20.0,202,108.91,0,0,14,8,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/139/ashok-menaria,Rajasthan Royals,2012
43,Manvinder Bisla,7,7,0,213,89,30.42,160,133.12,0,1,16,10,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/90/manvinder-bisla,Kolkata Knight Riders,2012
