POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Nationality,Player Link,Team,Season
82,JP Duminy,6,4,3,36,23,36.0,40,90.0,0,0,3,1,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/182/jp-duminy,Mumbai Indians,2018
83,Andrew Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,1,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/1480/andrew-tye,Kings Xi Punjab,2018
84,Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,3,1,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/103/harbhajan-singh,Chennai Super Kings,2018
85,Rinku Singh,4,4,0,29,16,7.25,31,93.54,0,0,4,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/3830/rinku-singh,Kolkata Knight Riders,2018
86,Piyush Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/76/piyush-chawla,Kolkata Knight Riders,2018
87,Dan Christian,4,3,1,26,13,13.0,33,78.78,0,0,0,1,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/181/dan-christian,Delhi Capitals,2018
88,Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,2,1,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3840/mohammed-siraj,Royal Challengers Bangalore,2018
89,Kedar Jadhav,1,1,1,24,24,0.0,22,109.09,0,0,1,2,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/297/kedar-jadhav,Chennai Super Kings,2018
90,Tom Curran,5,4,1,23,18,7.66,28,82.14,0,0,3,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/3646/tom-curran,Kolkata Knight Riders,2018
91,Mayank Markande,14,6,4,21,7,10.5,24,87.5,0,0,2,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/4951/mayank-markande,Mumbai Indians,2018
92,Mahipal Lomror,2,2,1,20,11,20.0,21,95.23,0,0,1,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/2970/mahipal-lomror,Rajasthan Royals,2018
93,Mohammad Nabi,2,2,0,18,14,9.0,12,150.0,0,0,3,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/618/mohammad-nabi,Sunrisers Hyderabad,2018
94,Chris Woakes,5,4,2,17,11,8.5,19,89.47,0,0,1,1,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/967/chris-woakes,Royal Challengers Bangalore,2018
95,Corey Anderson,3,3,0,17,15,5.66,22,77.27,0,0,0,1,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/968/corey-anderson,Royal Challengers Bangalore,2018
96,Mitchell Johnson,6,2,2,16,12,0.0,11,145.45,0,0,2,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/213/mitchell-johnson,Kolkata Knight Riders,2018
97,Shardul Thakur,13,1,1,15,15,0.0,5,300.0,0,0,3,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1745/shardul-thakur,Chennai Super Kings,2018
98,Jofra Archer,10,8,3,15,8,3.0,21,71.42,0,0,2,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/3502/jofra-archer,Rajasthan Royals,2018
99,Bhuvneshwar Kumar,12,4,2,13,7,6.5,16,81.25,0,0,1,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,2018
100,Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/3779/shivam-mavi,Kolkata Knight Riders,2018
1,David Warner,14,14,3,641,126,58.27,452,141.81,1,4,63,26,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/170/david-warner,Sunrisers Hyderabad,2017
2,Gautam Gambhir,16,16,4,498,76,41.5,389,128.02,0,4,61,7,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/84/gautam-gambhir,Kolkata Knight Riders,2017
3,Shikhar Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,53,9,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/41/shikhar-dhawan,Sunrisers Hyderabad,2017
4,Steve Smith,15,15,3,472,84,39.33,387,121.96,0,3,38,12,Overseas,,Nan,2017
5,Suresh Raina,14,14,3,442,84,40.18,307,143.97,0,3,42,13,Indian,,Nan,2017
6,Hashim Amla,10,10,3,420,104,60.0,288,145.83,2,2,40,17,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/456/hashim-amla,Kings Xi Punjab,2017
7,Manish Pandey,14,13,5,396,81,49.5,308,128.57,0,2,28,12,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/123/manish-pandey,Kolkata Knight Riders,2017
8,Parthiv Patel,16,16,0,395,70,24.68,293,134.81,0,2,49,8,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/44/parthiv-patel,Mumbai Indians,2017
9,Rahul Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,43,17,Indian,,Nan,2017
10,Robin Uthappa,14,13,0,388,87,29.84,235,165.1,0,5,36,21,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/127/robin-uthappa,Kolkata Knight Riders,2017
11,Sanju Samson,14,14,0,386,102,27.57,273,141.39,1,2,32,19,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/258/sanju-samson,Delhi Capitals,2017
12,Kieron Pollard,17,16,3,385,70,29.61,276,139.49,0,3,26,22,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/210/kieron-pollard,Mumbai Indians,2017
13,Ajinkya Rahane,16,16,1,382,60,25.46,323,118.26,0,2,35,9,Indian,,Nan,2017
14,Rishabh Pant,14,14,0,366,97,26.14,221,165.61,0,2,28,24,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/2972/rishabh-pant,Delhi Capitals,2017
15,Dinesh Karthik,14,13,3,361,65,36.1,259,139.38,0,2,30,11,Indian,,Nan,2017
16,Shreyas Iyer,12,12,2,338,96,33.8,243,139.09,0,2,36,10,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1563/shreyas-iyer,Delhi Capitals,2017
17,Rohit Sharma,17,16,2,333,67,23.78,273,121.97,0,3,31,9,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/107/rohit-sharma,Mumbai Indians,2017
18,Nitish Rana,13,12,1,333,62,30.27,264,126.13,0,3,24,17,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2738/nitish-rana,Mumbai Indians,2017
19,Manoj Tiwary,15,13,3,324,60,32.4,236,137.28,0,2,31,11,Indian,,Nan,2017
20,Brendon McCullum,11,11,0,319,72,29.0,217,147.0,0,2,29,18,Overseas,,Nan,2017
21,Ben Stokes,12,11,1,316,103,31.6,221,142.98,1,1,22,15,Overseas,,Nan,2017
22,Glenn Maxwell,14,13,3,310,47,31.0,179,173.18,0,0,19,26,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/282/glenn-maxwell,Kings Xi Punjab,2017
23,Virat Kohli,10,10,0,308,64,30.8,252,122.22,0,4,23,11,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/164/virat-kohli,Royal Challengers Bangalore,2017
24,Aaron Finch,13,13,1,299,72,24.91,180,166.11,0,2,25,19,Overseas,,Nan,2017
25,Chris Lynn,7,7,1,295,93,49.16,163,180.98,0,3,25,19,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/179/chris-lynn,Kolkata Knight Riders,2017
26,MS Dhoni,16,15,4,290,61,26.36,250,116.0,0,1,15,16,Indian,,Nan,2017
27,Karun Nair,14,13,0,281,64,21.61,226,124.33,0,1,39,6,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/276/karun-nair,Delhi Capitals,2017
28,Moises Henriques,12,11,5,277,55,46.16,203,136.45,0,3,28,4,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/388/moises-henriques,Sunrisers Hyderabad,2017
29,Ishan Kishan,11,10,0,277,61,27.7,206,134.46,0,1,29,13,Indian,,Nan,2017
30,Jos Buttler,10,10,0,272,77,27.2,177,153.67,0,1,27,15,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/509/jos-buttler,Mumbai Indians,2017
31,Kedar Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,25,10,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/297/kedar-jadhav,Royal Challengers Bangalore,2017
32,Shaun Marsh,9,8,0,264,84,33.0,194,136.08,0,2,36,5,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/191/shaun-marsh,Kings Xi Punjab,2017
33,Kane Williamson,7,7,1,256,89,42.66,169,151.47,0,2,20,10,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/440/kane-williamson,Sunrisers Hyderabad,2017
34,Yuvraj Singh,12,11,2,252,70,28.0,177,142.37,0,2,30,8,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/113/yuvraj-singh,Sunrisers Hyderabad,2017
35,Hardik Pandya,17,16,9,250,35,35.71,160,156.25,0,0,11,20,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2740/hardik-pandya,Mumbai Indians,2017
36,Krunal Pandya,13,11,4,243,47,34.71,179,135.75,0,0,24,7,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3183/krunal-pandya,Mumbai Indians,2017
37,Dwayne Smith,12,12,1,239,74,21.72,156,153.2,0,2,32,8,Overseas,,Nan,2017
38,Wriddhiman Saha,14,11,1,234,93,23.4,187,125.13,0,1,20,8,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/16/wriddhiman-saha,Kings Xi Punjab,2017
39,Manan Vohra,11,9,0,229,95,25.44,159,144.02,0,1,23,9,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1085/manan-vohra,Kings Xi Punjab,2017
40,Axar Patel,14,13,5,227,44,28.37,162,140.12,0,0,11,11,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1113/axar-patel,Kings Xi Punjab,2017
41,Sunil Narine,16,14,1,224,54,17.23,130,172.3,0,1,34,10,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/203/sunil-narine,Kolkata Knight Riders,2017
42,AB de Villiers,9,9,1,216,89,27.0,163,132.51,0,1,12,16,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/233/ab-de-villiers,Royal Challengers Bangalore,2017
43,Chris Gayle,9,9,0,200,77,22.22,163,122.69,0,1,15,14,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/236/chris-gayle,Royal Challengers Bangalore,2017
44,Mandeep Singh,11,10,0,188,52,18.8,177,106.21,0,1,21,4,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/72/mandeep-singh,Royal Challengers Bangalore,2017
45,Ravindra Jadeja,12,10,6,158,28,39.5,113,139.82,0,0,13,4,Indian,,Nan,2017
46,Chris Morris,9,9,4,154,52,30.8,94,163.82,0,1,15,6,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/836/chris-morris,Delhi Capitals,2017
47,Travis Head,7,7,2,151,75,30.2,108,139.81,0,1,9,6,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1020/travis-head,Royal Challengers Bangalore,2017
48,Pawan Negi,12,10,2,144,35,18.0,111,129.72,0,0,10,7,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/53/pawan-negi,Royal Challengers Bangalore,2017
49,Yusuf Pathan,15,11,3,143,59,17.87,115,124.34,0,1,9,6,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/96/yusuf-pathan,Kolkata Knight Riders,2017
50,Corey Anderson,11,11,4,142,41,20.28,123,115.44,0,0,8,9,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/968/corey-anderson,Delhi Capitals,2017
51,Sam Billings,6,6,0,138,55,23.0,104,132.69,0,1,19,1,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/2756/sam-billings,Delhi Capitals,2017
52,Lendl Simmons,7,7,0,137,66,19.57,112,122.32,0,2,10,8,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/595/lendl-simmons,Mumbai Indians,2017
53,Martin Guptill,7,7,1,132,50,22.0,88,150.0,0,1,17,5,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/431/martin-guptill,Kings Xi Punjab,2017
54,Colin de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,10,6,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/820/colin-de-grandhomme,Kolkata Knight Riders,2017
55,Suryakumar Yadav,10,7,1,105,31,17.5,88,119.31,0,0,8,3,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/108/suryakumar-yadav,Kolkata Knight Riders,2017
56,Vijay Shankar,4,4,2,101,63,50.5,75,134.66,0,1,12,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1083/vijay-shankar,Sunrisers Hyderabad,2017
57,Ambati Rayudu,5,5,0,91,63,18.2,78,116.66,0,1,7,3,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/100/ambati-rayudu,Mumbai Indians,2017
58,David Miller,5,4,1,83,30,27.66,80,103.75,0,0,4,4,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/187/david-miller,Kings Xi Punjab,2017
59,Dan Christian,13,9,4,79,17,15.8,49,161.22,0,0,5,5,Overseas,,Nan,2017
60,Naman Ojha,14,5,1,79,34,19.75,65,121.53,0,0,2,3,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/52/naman-ojha,Sunrisers Hyderabad,2017
61,Deepak Hooda,10,6,3,78,19,26.0,52,150.0,0,0,5,4,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1556/deepak-hooda,Sunrisers Hyderabad,2017
62,Stuart Binny,8,7,2,78,18,15.6,76,102.63,0,0,6,3,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/148/stuart-binny,Royal Challengers Bangalore,2017
63,Pat Cummins,12,9,4,77,24,15.4,53,145.28,0,0,5,4,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/488/pat-cummins,Delhi Capitals,2017
64,Shane Watson,8,7,1,71,24,11.83,78,91.02,0,0,6,1,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/227/shane-watson,Royal Challengers Bangalore,2017
65,Eoin Morgan,4,4,0,65,26,16.25,62,104.83,0,0,6,2,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/197/eoin-morgan,Kings Xi Punjab,2017
66,Jason Roy,3,3,1,59,31,29.5,40,147.5,0,0,9,1,Overseas,,Nan,2017
67,Kagiso Rabada,6,3,0,55,44,18.33,64,85.93,0,0,5,1,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/1664/kagiso-rabada,Delhi Capitals,2017
68,James Faulkner,8,6,2,54,21,13.5,57,94.73,0,0,4,0,Overseas,,Nan,2017
69,Andrew Tye,6,3,1,53,25,26.5,30,176.66,0,0,4,3,Overseas,,Nan,2017
70,Saurabh Tiwary,1,1,0,52,52,52.0,43,120.93,0,1,9,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/163/saurabh-tiwary,Mumbai Indians,2017
71,Ben Cutting,4,3,1,51,20,25.5,26,196.15,0,0,5,3,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/913/ben-cutting,Sunrisers Hyderabad,2017
72,Mohit Sharma,14,7,1,51,13,8.5,50,102.0,0,0,3,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1107/mohit-sharma,Kings Xi Punjab,2017
73,Amit Mishra,14,6,5,49,13,49.0,52,94.23,0,0,2,2,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/30/amit-mishra,Delhi Capitals,2017
74,Karn Sharma,9,6,0,49,19,8.16,41,119.51,0,0,5,2,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/1118/karn-sharma,Mumbai Indians,2017
75,Chris Woakes,13,7,3,46,18,11.5,47,97.87,0,0,4,1,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/967/chris-woakes,Kolkata Knight Riders,2017
76,Sheldon Jackson,4,3,1,38,16,19.0,31,122.58,0,0,5,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/1116/sheldon-jackson,Kolkata Knight Riders,2017
77,Mohammad Shami,8,6,2,36,21,9.0,24,150.0,0,0,4,2,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/94/mohammad-shami,Delhi Capitals,2017
78,Ishank Jaggi,2,2,1,33,28,33.0,39,84.61,0,0,3,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/37/ishank-jaggi,Kolkata Knight Riders,2017
79,Sreenath Aravind,10,8,4,32,9,8.0,40,80.0,0,0,2,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/162/sreenath-aravind,Royal Challengers Bangalore,2017
80,Angelo Mathews,3,2,0,32,31,16.0,27,118.51,0,0,2,1,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/217/angelo-mathews,Delhi Capitals,2017
81,Bipul Sharma,7,3,2,31,21,31.0,24,129.16,0,0,2,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/69/bipul-sharma,Sunrisers Hyderabad,2017
82,Marlon Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,2,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/272/marlon-samuels,Delhi Capitals,2017
83,Basil Thampi,12,5,5,28,13,0.0,28,100.0,0,0,1,1,Indian,,Nan,2017
84,Mayank Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,3,0,Indian,,Nan,2017
85,Aniket Choudhary,5,3,2,25,15,25.0,20,125.0,0,0,1,1,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1111/aniket-choudhary,Royal Challengers Bangalore,2017
86,Ankit Sharma,1,1,0,25,25,25.0,15,166.66,0,0,2,1,Indian,,Nan,2017
87,Kuldeep Yadav,12,2,0,20,16,10.0,22,90.9,0,0,2,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/261/kuldeep-yadav,Kolkata Knight Riders,2017
88,Mitchell Johnson,5,3,3,20,13,0.0,17,117.64,0,0,1,1,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/213/mitchell-johnson,Mumbai Indians,2017
89,Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,1,1,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/4305/vishnu-vinod,Royal Challengers Bangalore,2017
90,Rahul Tewatia,3,2,1,19,15,19.0,11,172.72,0,0,4,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1749/rahul-tewatia,Kings Xi Punjab,2017
91,Aditya Tare,3,3,0,18,18,6.0,23,78.26,0,0,3,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/99/aditya-tare,Delhi Capitals,2017
92,Marcus Stoinis,5,3,0,17,9,5.66,24,70.83,0,0,1,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/964/marcus-stoinis,Kings Xi Punjab,2017
93,Mitchell McClenaghan,14,7,3,16,12,4.0,15,106.66,0,0,0,1,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/730/mitchell-mcclenaghan,Mumbai Indians,2017
94,Rajat Bhatia,3,2,1,16,16,16.0,17,94.11,0,0,0,1,Indian,,Nan,2017
95,Harbhajan Singh,11,7,5,16,7,8.0,16,100.0,0,0,0,1,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/103/harbhajan-singh,Mumbai Indians,2017
96,Jasprit Bumrah,16,2,1,16,16,16.0,12,133.33,0,0,0,1,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/1124/jasprit-bumrah,Mumbai Indians,2017
97,Sachin Baby,3,3,0,15,12,5.0,15,100.0,0,0,2,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1115/sachin-baby,Royal Challengers Bangalore,2017
98,Anureet Singh,1,1,0,15,15,15.0,12,125.0,0,0,2,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/412/anureet-singh,Kings Xi Punjab,2017
99,Deepak Chahar,3,1,0,14,14,14.0,6,233.33,0,0,0,2,Indian,,Nan,2017
100,Nathan Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,2,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/840/nathan-coulter-nile,Kolkata Knight Riders,2017
1,Virat Kohli,16,16,4,973,113,81.08,640,152.03,4,7,83,38,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/164/virat-kohli,Royal Challengers Bangalore,2016
2,David Warner,17,17,3,848,93,60.57,560,151.42,0,9,88,31,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/170/david-warner,Sunrisers Hyderabad,2016
3,AB de Villiers,16,16,3,687,129,52.84,407,168.79,1,6,57,37,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/233/ab-de-villiers,Royal Challengers Bangalore,2016
4,Gautam Gambhir,15,15,2,501,90,38.53,411,121.89,0,5,54,6,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/84/gautam-gambhir,Kolkata Knight Riders,2016
5,Shikhar Dhawan,17,17,4,501,82,38.53,429,116.78,0,4,51,8,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/41/shikhar-dhawan,Sunrisers Hyderabad,2016
6,Rohit Sharma,14,14,3,489,85,44.45,368,132.88,0,5,49,16,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/107/rohit-sharma,Mumbai Indians,2016
7,Ajinkya Rahane,14,14,3,480,74,43.63,379,126.64,0,6,54,9,Indian,,Nan,2016
8,Murali Vijay,14,14,1,453,89,34.84,364,124.45,0,5,50,10,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/7/murali-vijay,Kings Xi Punjab,2016
9,Quinton de Kock,13,13,1,445,108,37.08,327,136.08,1,3,52,13,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/834/quinton-de-kock,Delhi Capitals,2016
10,Suresh Raina,15,15,1,399,75,28.5,312,127.88,0,3,39,10,Indian,,Nan,2016
11,KL Rahul,14,12,3,397,68,44.11,271,146.49,0,4,37,16,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1125/kl-rahul,Royal Challengers Bangalore,2016
12,Robin Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,45,8,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/127/robin-uthappa,Kolkata Knight Riders,2016
13,Aaron Finch,13,12,2,393,74,39.3,299,131.43,0,5,45,11,Overseas,,Nan,2016
14,Yusuf Pathan,15,13,8,361,63,72.2,248,145.56,0,3,33,13,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/96/yusuf-pathan,Kolkata Knight Riders,2016
15,Karun Nair,14,12,2,357,83,35.7,297,120.2,0,3,40,6,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/276/karun-nair,Delhi Capitals,2016
16,Brendon McCullum,16,16,0,354,60,22.12,262,135.11,0,1,38,16,Overseas,,Nan,2016
17,Dinesh Karthik,16,15,2,335,53,25.76,266,125.93,0,3,38,3,Indian,,Nan,2016
18,Ambati Rayudu,13,12,1,334,65,30.36,278,120.14,0,2,28,12,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/100/ambati-rayudu,Mumbai Indians,2016
19,Dwayne Smith,12,12,1,324,73,29.45,221,146.6,0,3,35,16,Overseas,,Nan,2016
20,Sanju Samson,14,14,3,291,60,26.45,259,112.35,0,1,20,8,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/258/sanju-samson,Delhi Capitals,2016
21,MS Dhoni,14,12,5,284,64,40.57,210,135.23,0,1,18,14,Indian,,Nan,2016
22,Steve Smith,8,7,1,270,101,45.0,176,153.4,1,0,27,8,Overseas,,Nan,2016
23,Wriddhiman Saha,12,12,1,270,56,24.54,212,127.35,0,2,29,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/16/wriddhiman-saha,Kings Xi Punjab,2016
24,Jos Buttler,14,14,3,255,41,23.18,184,138.58,0,0,23,11,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/509/jos-buttler,Mumbai Indians,2016
25,Manish Pandey,12,11,3,248,52,31.0,183,135.51,0,2,17,9,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/123/manish-pandey,Kolkata Knight Riders,2016
26,Krunal Pandya,12,9,3,237,86,39.5,124,191.12,0,1,22,13,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3183/krunal-pandya,Mumbai Indians,2016
27,Yuvraj Singh,10,10,1,236,44,26.22,179,131.84,0,0,22,13,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/113/yuvraj-singh,Sunrisers Hyderabad,2016
28,Chris Gayle,10,10,0,227,76,22.7,150,151.33,0,2,17,21,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/236/chris-gayle,Royal Challengers Bangalore,2016
29,Kieron Pollard,13,12,4,207,51,25.87,144,143.75,0,1,11,16,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/210/kieron-pollard,Mumbai Indians,2016
30,Faf du Plessis,6,6,0,206,69,34.33,162,127.16,0,2,17,9,Overseas,,Nan,2016
31,Rishabh Pant,10,10,2,198,69,24.75,152,130.26,0,1,19,6,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/2972/rishabh-pant,Delhi Capitals,2016
32,Chris Morris,12,7,4,195,82,65.0,109,178.89,0,1,15,12,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/836/chris-morris,Delhi Capitals,2016
33,Ravindra Jadeja,15,15,6,191,36,21.22,178,107.3,0,0,14,4,Indian,,Nan,2016
34,JP Duminy,10,8,3,191,49,38.2,156,122.43,0,0,13,3,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/182/jp-duminy,Delhi Capitals,2016
35,Andre Russell,12,8,1,188,39,26.85,114,164.91,0,0,10,15,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/177/andre-russell,Kolkata Knight Riders,2016
36,Suryakumar Yadav,15,11,4,186,60,26.57,143,130.06,0,1,19,5,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/108/suryakumar-yadav,Kolkata Knight Riders,2016
37,Moises Henriques,17,15,3,182,31,15.16,158,115.18,0,0,15,6,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/388/moises-henriques,Sunrisers Hyderabad,2016
38,Glenn Maxwell,11,11,2,179,68,19.88,124,144.35,0,2,14,8,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/282/glenn-maxwell,Kings Xi Punjab,2016
39,Shane Watson,16,15,2,179,36,13.76,134,133.58,0,0,14,12,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/227/shane-watson,Royal Challengers Bangalore,2016
40,Parthiv Patel,10,10,0,177,81,17.7,152,116.44,0,1,23,4,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/44/parthiv-patel,Mumbai Indians,2016
41,Saurabh Tiwary,10,7,0,170,57,24.28,141,120.56,0,2,17,4,Indian,,Nan,2016
42,David Miller,14,13,3,161,31,16.1,131,122.9,0,0,11,4,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/187/david-miller,Kings Xi Punjab,2016
43,Manan Vohra,7,7,0,161,51,23.0,131,122.9,0,1,19,3,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1085/manan-vohra,Kings Xi Punjab,2016
