POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team
88,Amit Singh,23,23,78.5,620,28,4/19,22.14,7.86,16.89,1,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/137/amit-singh,Rajasthan Royals
89,Tim Southee,40,40,148.0,1293,28,3/24,46.17,8.73,31.71,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/307/tim-southee,Royal Challengers Bangalore
90,Mohammed Siraj,26,26,92.1,848,28,4/32,30.28,9.2,19.75,1,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3840/mohammed-siraj,Royal Challengers Bangalore
91,MF Maharoof,20,20,70.0,520,27,3/34,19.25,7.42,15.55,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/311/mf-maharoof,Delhi Capitals
92,Jofra Archer,23,23,89.5,688,27,3/15,25.48,7.65,19.96,0,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/3502/jofra-archer,Rajasthan Royals
93,Angelo Mathews,49,44,131.5,1079,27,4/19,39.96,8.18,29.29,1,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/217/angelo-mathews,Delhi Capitals
94,Wayne Parnell,26,26,95.2,701,26,3/27,26.96,7.35,22.0,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/223/wayne-parnell,Delhi Capitals
95,Ben Stokes,34,30,97.5,808,26,3/15,31.07,8.25,22.57,0,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/1154/ben-stokes,Rajasthan Royals
96,Dwayne Smith,91,46,89.5,810,26,4/8,31.15,9.01,20.73,1,0,Overseas,,Nan
97,Johan Botha,34,34,115.4,800,25,3/6,32.0,6.91,27.76,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/224/johan-botha,Kolkata Knight Riders
98,Suresh Raina,193,69,151.2,1118,25,2/0,44.72,7.38,36.32,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/14/suresh-raina,Chennai Super Kings
99,Brett Lee,38,38,145.5,1095,25,3/15,43.8,7.5,35.0,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/196/brett-lee,Kolkata Knight Riders
100,Harmeet Singh Bansal,27,26,84.3,674,25,3/24,26.96,7.97,20.28,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/70/harmeet-singh-bansal,Kings Xi Punjab
