Date,Ground / Location,Match Number,Team A,Team B,winner,Wins By Runs,Wins By Wickets,Season
2017-04-24,Mumbai,28th Match, Mumbai Indians , Rising Pune Supergiant,Rising Pune Supergiant,3,0,2017
2017-04-25,"Bengaluru, Bangalore",29th Match, Royal Challengers Bangalore , Sunrisers Hyderabad,Match abandoned,0,0,2017
2017-04-26,Pune,30th Match, Rising Pune Supergiant , Kolkata Knight Riders,Kolkata Knight Riders,0,7,2017
2017-04-27,"Bengaluru, Bangalore",31st Match, Royal Challengers Bangalore , Gujarat Lions,Gujarat Lions,0,7,2017
2017-04-28,Kolkata,32nd Match, Kolkata Knight Riders , Delhi Capitals,Kolkata Knight Riders,0,7,2017
2017-04-28,"Mohali, Chandigarh",33rd Match, Kings XI Punjab , Sunrisers Hyderabad,Sunrisers Hyderabad,26,0,2017
2017-04-29,Pune,34th Match, Rising Pune Supergiant , Royal Challengers Bangalore,Rising Pune Supergiant,61,0,2017
2017-04-29,"Khandheri, Rajkot",35th Match, Gujarat Lions , Mumbai Indians,Mumbai Indians,0,0,2017
2017-04-30,"Mohali, Chandigarh",36th Match, Kings XI Punjab , Delhi Capitals,Kings XI Punjab,0,10,2017
2017-04-30,Hyderabad,37th Match, Sunrisers Hyderabad , Kolkata Knight Riders,Sunrisers Hyderabad,48,0,2017
2017-01-05,Mumbai,38th Match, Mumbai Indians , Royal Challengers Bangalore,Mumbai Indians,0,5,2017
2017-01-05,Pune,39th Match, Rising Pune Supergiant , Gujarat Lions,Rising Pune Supergiant,0,5,2017
2017-02-05,Delhi,40th Match, Delhi Capitals , Sunrisers Hyderabad,Delhi Capitals,0,6,2017
2017-03-05,Kolkata,41st Match, Kolkata Knight Riders , Rising Pune Supergiant,Rising Pune Supergiant,0,4,2017
2017-04-05,Delhi,42nd Match, Delhi Capitals , Gujarat Lions,Delhi Capitals,0,7,2017
2017-05-05,"Bengaluru, Bangalore",43rd Match, Royal Challengers Bangalore , Kings XI Punjab,Kings XI Punjab,19,0,2017
2017-06-05,Hyderabad,44th Match, Sunrisers Hyderabad , Rising Pune Supergiant,Rising Pune Supergiant,12,0,2017
2017-06-05,Cuttack,45th Match, Delhi Capitals , Mumbai Indians,Mumbai Indians,146,0,2017
2017-07-05,"Bengaluru, Bangalore",46th Match, Royal Challengers Bangalore , Kolkata Knight Riders,Kolkata Knight Riders,0,6,2017
2017-07-05,"Mohali, Chandigarh",47th Match, Kings XI Punjab , Gujarat Lions,Gujarat Lions,0,6,2017
2017-08-05,Hyderabad,48th Match, Sunrisers Hyderabad , Mumbai Indians,Sunrisers Hyderabad,0,7,2017
2017-09-05,"Mohali, Chandigarh",49th Match, Kings XI Punjab , Kolkata Knight Riders,Kings XI Punjab,14,0,2017
2017-10-05,Kanpur,50th Match, Gujarat Lions , Delhi Capitals,Delhi Capitals,0,2,2017
2017-11-05,Mumbai,51st Match, Mumbai Indians , Kings XI Punjab,Kings XI Punjab,7,0,2017
2017-12-05,Delhi,52nd Match, Delhi Capitals , Rising Pune Supergiant,Delhi Capitals,7,0,2017
2017-05-13,Kanpur,53rd Match, Gujarat Lions , Sunrisers Hyderabad,Sunrisers Hyderabad,0,8,2017
2017-05-13,Kolkata,54th Match, Kolkata Knight Riders , Mumbai Indians,Mumbai Indians,9,0,2017
2017-05-14,Pune,55th Match, Rising Pune Supergiant , Kings XI Punjab,Rising Pune Supergiant,0,9,2017
2017-05-14,Delhi,56th Match, Delhi Capitals , Royal Challengers Bangalore,Royal Challengers Bangalore,10,0,2017
2017-05-16,Mumbai,1st Qualifying Final, Mumbai Indians , Rising Pune Supergiant,Rising Pune Supergiant,20,0,2017
2017-05-17,"Bengaluru, Bangalore",Elimination Final, Sunrisers Hyderabad , Kolkata Knight Riders,Kolkata Knight Riders,0,7,2017
2017-05-19,"Bengaluru, Bangalore",2nd Qualifying Final, Mumbai Indians , Kolkata Knight Riders,Mumbai Indians,0,6,2017
2017-05-21,Hyderabad,Final, Mumbai Indians , Rising Pune Supergiant,Mumbai Indians,1,0,2017
2016-09-04,Mumbai,1st Match, Mumbai Indians , Rising Pune Supergiant,Rising Pune Supergiant,0,9,2016
2016-10-04,Kolkata,2nd Match, Kolkata Knight Riders , Delhi Capitals,Kolkata Knight Riders,0,9,2016
2016-11-04,"Mohali, Chandigarh",3rd Match, Kings XI Punjab , Gujarat Lions,Gujarat Lions,0,5,2016
2016-12-04,"Bengaluru, Bangalore",4th Match, Royal Challengers Bangalore , Sunrisers Hyderabad,Royal Challengers Bangalore,45,0,2016
2016-04-13,Kolkata,5th Match, Kolkata Knight Riders , Mumbai Indians,Mumbai Indians,0,6,2016
2016-04-14,"Khandheri, Rajkot",6th Match, Gujarat Lions , Rising Pune Supergiant,Gujarat Lions,0,7,2016
2016-04-15,Delhi,7th Match, Delhi Capitals , Kings XI Punjab,Delhi Capitals,0,8,2016
2016-04-16,Hyderabad,8th Match, Sunrisers Hyderabad , Kolkata Knight Riders,Kolkata Knight Riders,0,8,2016
2016-04-16,Mumbai,9th Match, Mumbai Indians , Gujarat Lions,Gujarat Lions,0,3,2016
2016-04-17,"Mohali, Chandigarh",10th Match, Kings XI Punjab , Rising Pune Supergiant,Kings XI Punjab,0,6,2016
2016-04-17,"Bengaluru, Bangalore",11th Match, Royal Challengers Bangalore , Delhi Capitals,Delhi Capitals,0,7,2016
2016-04-18,Hyderabad,12th Match, Sunrisers Hyderabad , Mumbai Indians,Sunrisers Hyderabad,0,7,2016
2016-04-19,"Mohali, Chandigarh",13th Match, Kings XI Punjab , Kolkata Knight Riders,Kolkata Knight Riders,0,7,2016
2016-04-20,Cuttack,14th Match, Mumbai Indians , Royal Challengers Bangalore,Mumbai Indians,0,6,2016
2016-04-21,"Khandheri, Rajkot",15th Match, Gujarat Lions , Sunrisers Hyderabad,Sunrisers Hyderabad,0,10,2016
2016-04-22,Pune,16th Match, Rising Pune Supergiant , Royal Challengers Bangalore,Royal Challengers Bangalore,13,0,2016
2016-04-23,Delhi,17th Match, Delhi Capitals , Mumbai Indians,Delhi Capitals,10,0,2016
2016-04-23,Hyderabad,18th Match, Kings XI Punjab , Sunrisers Hyderabad,Sunrisers Hyderabad,0,5,2016
2016-04-24,"Khandheri, Rajkot",19th Match, Gujarat Lions , Royal Challengers Bangalore,Gujarat Lions,0,6,2016
2016-04-24,Pune,20th Match, Rising Pune Supergiant , Kolkata Knight Riders,Kolkata Knight Riders,0,2,2016
2016-04-25,"Mohali, Chandigarh",21st Match, Kings XI Punjab , Mumbai Indians,Mumbai Indians,25,0,2016
2016-04-26,Hyderabad,22nd Match, Sunrisers Hyderabad , Rising Pune Supergiant,Rising Pune Supergiant,34,0,2016
2016-04-27,Delhi,23rd Match, Delhi Capitals , Gujarat Lions,Gujarat Lions,1,0,2016
2016-04-28,Mumbai,24th Match, Mumbai Indians , Kolkata Knight Riders,Mumbai Indians,0,6,2016
2016-04-29,Pune,25th Match, Rising Pune Supergiant , Gujarat Lions,Gujarat Lions,0,3,2016
2016-04-30,Delhi,26th Match, Delhi Capitals , Kolkata Knight Riders,Delhi Capitals,27,0,2016
2016-04-30,Hyderabad,27th Match, Sunrisers Hyderabad , Royal Challengers Bangalore,Sunrisers Hyderabad,15,0,2016
2016-01-05,"Khandheri, Rajkot",28th Match, Gujarat Lions , Kings XI Punjab,Kings XI Punjab,23,0,2016
2016-01-05,Pune,29th Match, Rising Pune Supergiant , Mumbai Indians,Mumbai Indians,0,8,2016
