POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team,Dots,Maid,Season
27,Ankit Rajpoot,8,8,26.1,223,11,0,20.27,8.52,14.27,0,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1106/ankit-rajpoot,Kings Xi Punjab,80.0,1.0,2018
28,Mohammed Siraj,11,11,41.0,367,11,0,33.36,8.95,22.36,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3840/mohammed-siraj,Royal Challengers Bangalore,90.0,0.0,2018
29,Jaydev Unadkat,15,15,50.2,486,11,0,44.18,9.65,27.45,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/86/jaydev-unadkat,Rajasthan Royals,97.0,0.0,2018
30,Deepak Chahar,12,12,38.1,278,10,0,27.8,7.28,22.9,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/140/deepak-chahar,Chennai Super Kings,117.0,1.0,2018
31,Ravichandran Ashwin,14,14,50.4,410,10,0,41.0,8.09,30.4,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/8/ravichandran-ashwin,Kings Xi Punjab,77.0,0.0,2018
32,Prasidh Krishna,7,7,28.0,260,10,0,26.0,9.28,16.8,1,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/5105/prasidh-krishna,Kolkata Knight Riders,60.0,0.0,2018
33,Bhuvneshwar Kumar,12,12,46.1,354,9,0,39.33,7.66,30.77,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,124.0,1.0,2018
34,Ben Laughlin,7,7,21.0,211,9,0,23.44,10.04,14.0,0,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/921/ben-laughlin,Rajasthan Royals,34.0,0.0,2018
35,Ben Stokes,13,12,37.0,303,8,0,37.87,8.18,27.75,0,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/1154/ben-stokes,Rajasthan Royals,77.0,1.0,2018
36,Chris Woakes,5,5,18.2,190,8,0,23.75,10.36,13.75,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/967/chris-woakes,Royal Challengers Bangalore,47.0,0.0,2018
37,Mustafizur Rahman,7,7,27.3,230,7,0,32.85,8.36,23.57,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/1594/mustafizur-rahman,Mumbai Indians,59.0,0.0,2018
38,Harbhajan Singh,13,12,31.5,270,7,0,38.57,8.48,27.28,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/103/harbhajan-singh,Chennai Super Kings,68.0,0.0,2018
39,Harshal Patel,5,5,17.3,167,7,0,23.85,9.54,15.0,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/157/harshal-patel,Delhi Capitals,36.0,0.0,2018
40,Mohit Sharma,9,9,29.4,322,7,0,46.0,10.85,25.42,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1107/mohit-sharma,Kings Xi Punjab,50.0,0.0,2018
41,Rahul Tewatia,8,8,22.0,173,6,0,28.83,7.86,22.0,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1749/rahul-tewatia,Delhi Capitals,41.0,0.0,2018
42,Shane Watson,15,11,28.0,251,6,0,41.83,8.96,28.0,0,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/227/shane-watson,Chennai Super Kings,57.0,0.0,2018
43,Imran Tahir,6,6,20.4,188,6,0,31.33,9.09,20.66,0,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/898/imran-tahir,Chennai Super Kings,40.0,0.0,2018
44,Tom Curran,5,5,10.1,118,6,0,19.66,11.6,10.16,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/3646/tom-curran,Kolkata Knight Riders,15.0,0.0,2018
45,Ish Sodhi,6,6,23.0,135,5,0,27.0,5.86,27.6,0,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/1304/ish-sodhi,Rajasthan Royals,51.0,0.0,2018
46,Sandeep Lamichhane,3,3,12.0,82,5,0,16.4,6.83,14.4,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/3013/sandeep-lamichhane,Delhi Capitals,30.0,0.0,2018
47,Billy Stanlake,4,4,16.0,130,5,0,26.0,8.12,19.2,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1521/billy-stanlake,Sunrisers Hyderabad,47.0,0.0,2018
